name	d2_type	code	type	sub_type	img_name	size_x	size_y
Reflex Bow	abow	am2	weapon	bow	reflex_bow.sprite.00.png	2	4
Ceremonial Bow	abow	am7	weapon	bow	reflex_bow.sprite.00.png	2	4
Grand Matron Bow	abow	amc	weapon	bow	reflex_bow.sprite.00.png	2	4
Stag Bow	abow	am1	weapon	bow	stag_bow.sprite.00.png	2	4
Ashwood Bow	abow	am6	weapon	bow	stag_bow.sprite.00.png	2	4
Matriarchal Bow	abow	amb	weapon	bow	stag_bow.sprite.00.png	2	4
Maiden Javelin	ajav	am5	weapon	javelin	maiden_javelin.sprite.00.png	1	3
Ceremonial Javelin	ajav	ama	weapon	javelin	maiden_javelin.sprite.00.png	1	3
MatriarchalJavelin	ajav	amf	weapon	javelin	maiden_javelin.sprite.00.png	1	3
Aerin Shield	ashd	pa4	armor	shield	aerin_shield.sprite.00.png	2	4
Guilded Shield	ashd	pa9	armor	shield	aerin_shield.sprite.00.png	2	4
Zakarum Shield	ashd	pae	armor	shield	aerin_shield.sprite.00.png	2	4
Crown Shield	ashd	pa5	armor	shield	crown_shield.sprite.00.png	2	2
Royal Shield	ashd	paa	armor	shield	crown_shield.sprite.00.png	2	2
Vortex Shield	ashd	paf	armor	shield	crown_shield.sprite.00.png	2	2
Heraldic Shield	ashd	pa3	armor	shield	heraldic_shield.sprite.00.png	2	4
Protector Shield	ashd	pa8	armor	shield	heraldic_shield.sprite.00.png	2	4
Ancient Shield	ashd	pad	armor	shield	heraldic_shield.sprite.00.png	2	4
Rondache	ashd	pa2	armor	shield	rondache.sprite.00.png	2	2
Akaran Rondache	ashd	pa7	armor	shield	rondache.sprite.00.png	2	2
Sacred Rondache	ashd	pac	armor	shield	rondache.sprite.00.png	2	2
Targe	ashd	pa1	armor	shield	targe.sprite.00.png	2	2
Akaran Targe	ashd	pa6	armor	shield	targe.sprite.00.png	2	2
Sacred Targe	ashd	pab	armor	shield	targe.sprite.00.png	2	2
Maiden Pike	aspe	am4	weapon	spear	maiden_pike.sprite.00.png	2	4
Ceremonial Pike	aspe	am9	weapon	spear	maiden_pike.sprite.00.png	2	4
Matriarchal Pike	aspe	ame	weapon	spear	maiden_pike.sprite.00.png	2	4
Maiden Spear	aspe	am3	weapon	spear	maiden_spear.sprite.00.png	2	4
Ceremonial Spear	aspe	am8	weapon	spear	maiden_spear.sprite.00.png	2	4
Matriarchal Spear	aspe	amd	weapon	spear	maiden_spear.sprite.00.png	2	4
Axe	axe	axe	weapon	axe	axe.sprite.00.png	2	3
Cleaver	axe	9ax	weapon	axe	axe.sprite.00.png	2	3
Small Crescent	axe	7ax	weapon	axe	axe.sprite.00.png	2	3
Tabar	axe	9bt	weapon	axe	battle_axe.sprite.00.png	2	3
Decapitator	axe	7bt	weapon	axe	battle_axe.sprite.00.png	2	3
Battle Axe	axe	btx	weapon	axe	battle_axe.sprite.00.png	2	3
Broad Axe	axe	bax	weapon	axe	broad_axe.sprite.00.png	2	3
Bearded Axe	axe	9ba	weapon	axe	broad_axe.sprite.00.png	2	3
Silver Edged Axe	axe	7ba	weapon	axe	broad_axe.sprite.00.png	2	3
Double Axe	axe	2ax	weapon	axe	double_axe.sprite.00.png	2	3
Twin Axe	axe	92a	weapon	axe	double_axe.sprite.00.png	2	3
Ettin Axe	axe	72a	weapon	axe	double_axe.sprite.00.png	2	3
Glorious Axe	axe	7gi	weapon	axe	giant_axe.sprite.00.png	2	3
Giant Axe	axe	gix	weapon	axe	giant_axe.sprite.00.png	2	3
Gothic Axe	axe	9ga	weapon	axe	great_axe.sprite.00.png	2	4
Champion Axe	axe	7ga	weapon	axe	great_axe.sprite.00.png	2	4
Ancient Axe	axe	9gi	weapon	axe	giant_axe.sprite.00.png	2	3
Great Axe	axe	gax	weapon	axe	great_axe.sprite.00.png	2	4
Hand Axe	axe	hax	weapon	axe	hand_axe.sprite.00.png	1	3
Hatchet	axe	9ha	weapon	axe	hand_axe.sprite.00.png	1	3
Tomahawk	axe	7ha	weapon	axe	hand_axe.sprite.00.png	1	3
Large Axe	axe	lax	weapon	axe	large_axe.sprite.00.png	2	3
Military Axe	axe	9la	weapon	axe	large_axe.sprite.00.png	2	3
Feral Axe	axe	7la	weapon	axe	large_axe.sprite.00.png	2	3
Military Pick	axe	mpi	weapon	axe	military_pick.sprite.00.png	2	3
Crowbill	axe	9mp	weapon	axe	military_pick.sprite.00.png	2	3
War Spike	axe	7mp	weapon	axe	military_pick.sprite.00.png	2	3
War Axe	axe	wax	weapon	axe	war_axe.sprite.00.png	2	3
Naga	axe	9wa	weapon	axe	war_axe.sprite.00.png	2	3
Berserker Axe	axe	7wa	weapon	axe	war_axe.sprite.00.png	2	3
Troll Belt [S]	bels	rbe	armor	belt	heavy_belt.sprite.00.png	2	1
Sash(L)	belt	lbl	armor	belt	sash_l.sprite.00.png	2	1
Light Belt	belt	vbl	armor	belt	light_belt.sprite.00.png	2	1
Belt(M)	belt	mbl	armor	belt	belt_m.sprite.00.png	2	1
Heavy Belt	belt	tbl	armor	belt	heavy_belt.sprite.00.png	2	1
Girdle(H)	belt	hbl	armor	belt	girdle_h.sprite.00.png	2	1
Demonhide Sash	belt	zlb	armor	belt	sash_l.sprite.00.png	2	1
Sharkskin Belt	belt	zvb	armor	belt	light_belt.sprite.00.png	2	1
Mesh Belt	belt	zmb	armor	belt	belt_m.sprite.00.png	2	1
Battle Belt	belt	ztb	armor	belt	heavy_belt.sprite.00.png	2	1
War Belt	belt	zhb	armor	belt	girdle_h.sprite.00.png	2	1
Spiderweb Sash	belt	ulc	armor	belt	sash_l.sprite.00.png	2	1
Vampirefang Belt	belt	uvc	armor	belt	light_belt.sprite.00.png	2	1
Mithril Coil	belt	umc	armor	belt	belt_m.sprite.00.png	2	1
Troll Belt	belt	utc	armor	belt	heavy_belt.sprite.00.png	2	1
Colossus Girdle	belt	uhc	armor	belt	girdle_h.sprite.00.png	2	1
Leather Boots	boot	lbt	armor	boot	leather_boots.sprite.00.png	2	2
Heavy Boots	boot	vbt	armor	boot	heavy_boots.sprite.00.png	2	2
Chain Boots	boot	mbt	armor	boot	chain_boots.sprite.00.png	2	2
Light Plate Boots	boot	tbt	armor	boot	light_plate_boots.sprite.00.png	2	2
Plate Boots	boot	hbt	armor	boot	plate_boots.sprite.00.png	2	2
Demonhide Boots	boot	xlb	armor	boot	leather_boots.sprite.00.png	2	2
Sharkskin Boots	boot	xvb	armor	boot	heavy_boots.sprite.00.png	2	2
Mesh Boots	boot	xmb	armor	boot	chain_boots.sprite.00.png	2	2
